id,team_fifa_api_id,team_api_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing
274,1961,8344,2015-09-10 00:00:00,60,Balanced,41.0,Normal,67
275,112409,208931,2014-09-19 00:00:00,32,Slow,46.0,Normal,31
276,112409,208931,2015-09-10 00:00:00,80,Fast,45.0,Normal,65
277,110364,8530,2010-02-22 00:00:00,35,Balanced,,Little,30
278,110364,8530,2011-02-22 00:00:00,65,Balanced,,Little,35
279,110364,8530,2012-02-22 00:00:00,40,Balanced,,Little,50
280,110364,8530,2013-09-20 00:00:00,67,Fast,,Little,37
281,110364,8530,2014-09-19 00:00:00,75,Fast,52.0,Normal,48
282,110364,8530,2015-09-10 00:00:00,70,Fast,52.0,Normal,48
283,450,9910,2010-02-22 00:00:00,35,Balanced,,Little,30
284,450,9910,2011-02-22 00:00:00,43,Balanced,,Little,44
285,450,9910,2012-02-22 00:00:00,53,Balanced,,Little,62
286,450,9910,2013-09-20 00:00:00,53,Balanced,,Little,62
287,450,9910,2014-09-19 00:00:00,53,Balanced,54.0,Normal,62
288,450,9910,2015-09-10 00:00:00,55,Balanced,59.0,Normal,38
289,78,9925,2010-02-22 00:00:00,70,Fast,,Little,70
290,78,9925,2011-02-22 00:00:00,54,Balanced,,Little,52
291,78,9925,2012-02-22 00:00:00,70,Fast,,Little,58
292,78,9925,2013-09-20 00:00:00,50,Balanced,,Little,53
293,78,9925,2014-09-19 00:00:00,70,Fast,52.0,Normal,58
294,78,9925,2015-09-10 00:00:00,54,Balanced,49.0,Normal,53
295,1750,9984,2010-02-22 00:00:00,45,Balanced,,Little,35
296,1750,9984,2011-02-22 00:00:00,50,Balanced,,Little,50
297,1750,9984,2012-02-22 00:00:00,68,Fast,,Little,54
298,1750,9984,2013-09-20 00:00:00,53,Balanced,,Little,40
299,1750,9984,2014-09-19 00:00:00,53,Balanced,49.0,Normal,43
300,1750,9984,2015-09-10 00:00:00,53,Balanced,49.0,Normal,43
301,110915,9880,2010-02-22 00:00:00,30,Slow,,Little,30
302,110915,9880,2011-02-22 00:00:00,50,Balanced,,Little,50
303,110915,9880,2012-02-22 00:00:00,60,Balanced,,Little,40
304,110915,9880,2013-09-20 00:00:00,73,Fast,,Little,44
305,110915,9880,2014-09-19 00:00:00,73,Fast,29.0,Little,41
306,110915,9880,2015-09-10 00:00:00,66,Balanced,31.0,Little,41
307,5,8455,2010-02-22 00:00:00,70,Fast,,Little,60
308,5,8455,2011-02-22 00:00:00,60,Balanced,,Little,50
309,5,8455,2012-02-22 00:00:00,60,Balanced,,Little,45
310,5,8455,2013-09-20 00:00:00,46,Balanced,,Little,41
311,5,8455,2014-09-19 00:00:00,67,Fast,52.0,Normal,38
312,5,8455,2015-09-10 00:00:00,67,Fast,41.0,Normal,36
313,192,8533,2010-02-22 00:00:00,45,Balanced,,Little,30
314,192,8533,2011-02-22 00:00:00,45,Balanced,,Little,50
315,192,8533,2012-02-22 00:00:00,60,Balanced,,Little,65
316,192,8533,2013-09-20 00:00:00,66,Balanced,,Little,67
317,192,8533,2014-09-19 00:00:00,66,Balanced,54.0,Normal,67
318,192,8533,2015-09-10 00:00:00,66,Balanced,54.0,Normal,67
319,231,8342,2010-02-22 00:00:00,35,Balanced,,Little,40
320,231,8342,2011-02-22 00:00:00,67,Fast,,Little,47
321,231,8342,2012-02-22 00:00:00,64,Balanced,,Little,54
322,231,8342,2013-09-20 00:00:00,45,Balanced,,Little,48
323,231,8342,2014-09-19 00:00:00,42,Balanced,52.0,Normal,45
324,231,8342,2015-09-10 00:00:00,42,Balanced,52.0,Normal,45
325,1867,7869,2010-02-22 00:00:00,30,Slow,,Little,30
326,1867,7869,2011-02-22 00:00:00,39,Balanced,,Little,41
327,1867,7869,2012-02-22 00:00:00,40,Balanced,,Little,53
328,1867,7869,2013-09-20 00:00:00,40,Balanced,,Little,53
329,1867,7869,2014-09-19 00:00:00,40,Balanced,53.0,Normal,53
330,1867,7869,2015-09-10 00:00:00,53,Balanced,40.0,Normal,48
331,110747,2186,2010-02-22 00:00:00,30,Slow,,Little,45
332,110747,2186,2011-02-22 00:00:00,46,Balanced,,Little,51
333,110747,2186,2012-02-22 00:00:00,57,Balanced,,Little,59
334,110747,2186,2014-09-19 00:00:00,37,Balanced,50.0,Normal,38
335,110747,2186,2015-09-10 00:00:00,37,Balanced,50.0,Normal,38
336,1799,9826,2010-02-22 00:00:00,70,Fast,,Little,70
337,1799,9826,2011-02-22 00:00:00,53,Balanced,,Little,54
338,1799,9826,2012-02-22 00:00:00,43,Balanced,,Little,46
339,1799,9826,2013-09-20 00:00:00,52,Balanced,,Little,47
340,1799,9826,2014-09-19 00:00:00,61,Balanced,36.0,Normal,68
341,1799,9826,2015-09-10 00:00:00,61,Balanced,45.0,Normal,67
342,110502,8262,2015-09-10 00:00:00,59,Balanced,43.0,Normal,77
343,635,8526,2011-02-22 00:00:00,30,Slow,,Little,40
344,635,8526,2012-02-22 00:00:00,37,Balanced,,Little,41
345,242,9783,2010-02-22 00:00:00,30,Slow,,Little,30
346,242,9783,2011-02-22 00:00:00,56,Balanced,,Little,42
347,242,9783,2012-02-22 00:00:00,56,Balanced,,Little,46
348,242,9783,2013-09-20 00:00:00,56,Balanced,,Little,46
349,242,9783,2014-09-19 00:00:00,56,Balanced,55.0,Normal,46
350,242,9783,2015-09-10 00:00:00,53,Balanced,55.0,Normal,47
351,110569,9836,2010-02-22 00:00:00,55,Balanced,,Little,40
352,110569,9836,2011-02-22 00:00:00,65,Balanced,,Little,50
353,110569,9836,2012-02-22 00:00:00,51,Balanced,,Little,49
354,110569,9836,2013-09-20 00:00:00,51,Balanced,,Little,49
355,110569,9836,2014-09-19 00:00:00,51,Balanced,54.0,Normal,49
356,110569,9836,2015-09-10 00:00:00,51,Balanced,54.0,Normal,49
357,180,8284,2013-09-20 00:00:00,50,Balanced,,Little,49
358,180,8284,2015-09-10 00:00:00,47,Balanced,47.0,Normal,48
359,181,9938,2010-02-22 00:00:00,70,Fast,,Little,70
360,181,9938,2011-02-22 00:00:00,68,Fast,,Little,53
361,181,9938,2012-02-22 00:00:00,60,Balanced,,Little,60
362,181,9938,2013-09-20 00:00:00,53,Balanced,,Little,52
363,181,9938,2014-09-19 00:00:00,60,Balanced,51.0,Normal,60
364,181,9938,2015-09-10 00:00:00,60,Balanced,58.0,Normal,53
365,182,8457,2012-02-22 00:00:00,55,Balanced,,Little,60
366,467,8372,2014-09-19 00:00:00,62,Balanced,51.0,Normal,52
367,467,8372,2015-09-10 00:00:00,62,Balanced,51.0,Normal,52
368,110500,9776,2012-02-22 00:00:00,64,Balanced,,Little,54
369,110500,9776,2013-09-20 00:00:00,68,Fast,,Little,54
370,110500,9776,2014-09-19 00:00:00,61,Balanced,60.0,Normal,62
371,110500,9776,2015-09-10 00:00:00,66,Balanced,44.0,Normal,54
372,1824,9810,2010-02-22 00:00:00,60,Balanced,,Little,35
373,1824,9810,2011-02-22 00:00:00,52,Balanced,,Little,43
374,1824,9810,2012-02-22 00:00:00,38,Balanced,,Little,34
375,1824,9810,2013-09-20 00:00:00,41,Balanced,,Little,34
376,1824,9810,2014-09-19 00:00:00,63,Balanced,48.0,Normal,42
377,1824,9810,2015-09-10 00:00:00,51,Balanced,41.0,Normal,38
378,468,10268,2010-02-22 00:00:00,30,Slow,,Little,30
379,468,10268,2011-02-22 00:00:00,43,Balanced,,Little,39
380,468,10268,2012-02-22 00:00:00,55,Balanced,,Little,73
381,468,10268,2013-09-20 00:00:00,55,Balanced,,Little,73
382,468,10268,2014-09-19 00:00:00,55,Balanced,47.0,Normal,69
383,468,10268,2015-09-10 00:00:00,51,Balanced,52.0,Normal,48
384,1746,8534,2010-02-22 00:00:00,30,Slow,,Little,30
